iter	Logloss
0	0.6542593398
1	0.6218666462
2	0.5954124131
3	0.5738184917
4	0.5551320759
5	0.5406585165
6	0.5180569661
7	0.5000659423
8	0.4858584116
9	0.4743094385
10	0.4645251977
11	0.4549862641
12	0.4494533229
13	0.4435654892
14	0.4385306385
15	0.4326420166
16	0.4284736669
17	0.4245395469
18	0.4211835295
19	0.4184414644
20	0.4148987362
21	0.411286426
22	0.4083392196
23	0.4060769448
24	0.4022919592
25	0.401141484
26	0.3996405217
27	0.3981286858
28	0.3958844081
29	0.3950989385
30	0.3938063083
31	0.392647685
32	0.3913466931
33	0.3893311386
34	0.3879180367
35	0.3863374077
36	0.3856823817
37	0.385227453
38	0.3840339629
39	0.3831554357
40	0.3825635137
41	0.3818183004
42	0.3812195522
43	0.3803164103
44	0.3796255743
45	0.3793445033
46	0.3787779505
47	0.3778653975
48	0.3770396667
49	0.3764524382
50	0.3758122695
51	0.375041809
52	0.3746073805
53	0.3743813839
54	0.3739852334
55	0.3733682891
56	0.3727222196
57	0.3722230063
58	0.3715701741
59	0.3713078134
60	0.3712925152
61	0.3708461492
62	0.3703243655
63	0.3702944518
64	0.3699293595
65	0.3690501994
66	0.3690216007
67	0.3686242586
68	0.3682692655
69	0.3677831222
70	0.3672863041
71	0.366647342
72	0.3664608795
73	0.3661841875
74	0.3657840631
75	0.3650259124
76	0.3647701212
77	0.3645838832
78	0.3640724443
79	0.3638171099
80	0.3638058921
81	0.3636621699
82	0.363202421
83	0.36319182
84	0.3630139652
85	0.362514735
86	0.3625050662
87	0.3621404233
88	0.3617027314
89	0.3616318643
90	0.3615311026
91	0.3610204252
92	0.3608492593
93	0.3607278395
94	0.360565809
95	0.3604634684
96	0.3604545323
97	0.3604461153
98	0.3604246527
99	0.3602623464
