iter	Passed	Remaining
0	18	1855
1	36	1791
2	55	1791
3	78	1872
4	100	1906
5	122	1924
6	146	1940
7	169	1953
8	192	1948
9	215	1943
10	238	1927
11	260	1911
12	283	1899
13	307	1886
14	329	1867
15	352	1849
16	375	1831
17	398	1813
18	420	1792
19	443	1772
20	465	1750
21	488	1730
22	510	1708
23	532	1687
24	555	1667
25	579	1648
26	602	1628
27	625	1607
28	647	1586
29	664	1551
30	687	1530
31	709	1508
32	732	1486
33	754	1464
34	776	1442
35	798	1420
36	821	1399
37	845	1379
38	868	1358
39	891	1336
40	914	1316
41	937	1294
42	960	1273
43	982	1250
44	1005	1228
45	1027	1206
46	1050	1184
47	1073	1163
48	1095	1140
49	1118	1118
50	1141	1097
51	1164	1075
52	1187	1052
53	1210	1031
54	1233	1009
55	1255	986
56	1278	964
57	1300	941
58	1323	919
59	1345	896
60	1357	867
61	1380	846
62	1403	824
63	1426	802
64	1449	780
65	1472	758
66	1494	736
67	1516	713
68	1539	691
69	1562	669
70	1585	647
71	1607	625
72	1630	602
73	1652	580
74	1676	558
75	1698	536
76	1720	513
77	1742	491
78	1767	469
79	1789	447
80	1801	422
81	1825	400
82	1848	378
83	1860	354
84	1883	332
85	1906	310
86	1918	286
87	1942	264
88	1965	242
89	1988	220
90	2011	198
91	2034	176
92	2057	154
93	2079	132
94	2102	110
95	2124	88
96	2146	66
97	2169	44
98	2192	22
99	2215	0
